id	word	synonym	source	norm_word
1624189	me	spark		me
1626610	me	castaway		me
1626627	me	motivation		me
1628583	me	conforming		me
1628710	me	white elephants		me
1635818	me	energizer		me
1637333	me	boost		me
1638753	me	yeasts		me
1638903	me	approximating		me
1641192	me	admirers		me
1649281	at	enthrallment		at
1650080	me	catalyzers		me
1652707	me	such		me
1653138	at	fighter		at
1655649	me	boons		me
1657017	me	incitation		me
1657550	at	utterly perplexed		at
1659168	at	underbody		at
1663939	at	finery		at
1668039	me	zealots		me
1670611	me	pupil		me
1672263	me	satellites		me
1672793	at	come		at
1672880	me	resemblant		me
1673522	at	dawning		at
1674170	at	frippery		at
1674896	at	ever		at
1676466	at	combust		at
1677292	at	foot		at
1678535	me	admirer		me
1681429	me	support		me
1683433	at	notice		at
1687716	at	full dress		at
1690801	at	eat		at
1691222	at	flourish		at
1694362	at	rock bottom		at
1696484	at	thrive		at
1696600	me	running dog		me
1697552	me	close		me
1697593	me	reject		me
1699872	at	observation		at
1700851	me	sponge		me
1701176	me	pupils		me
1701448	at	underside		at
1703873	at	inflame		at
1707092	me	wastes		me
1707564	me	skeptical		me
1709572	at	astatine		at
1710390	me	spur		me
1716443	at	legionnaire		at
1720449	me	provocations		me
1720465	me	momenta		me
1720501	me	cultist		me
1727589	me	satellite		me
1729531	at	vessel		at
1734006	at	hams		at
1735061	at	rage		at
1735444	me	brownnosers		me
1736582	me	hand		me
1737374	me	lift		me
1740129	me	fuel		me
1740504	at	underpart		at
1741486	me	ditto		me
1742069	me	flunkies		me
1743067	at	combustible		at
1745201	me	conformable		me
1746134	me	rubbish		me
1746317	me	sycophant		me
1752994	at	breech		at
1757422	me	substitutable		me
1758331	me	incitement		me
1761376	me	catalyst		me
1761961	me	impetus		me
1762950	at	half		at
1765627	me	hanger-on		me
1766650	me	indistinguishable		me
1769211	at	corrode		at
1770855	me	fungible		me
1777812	me	spurs		me
1780478	me	pre-owned		me
1781256	me	cognate		me
1782669	at	beat		at
1785681	at	observance		at
1785954	me	energizers		me
1789774	me	apparatchik		me
1790730	me	resembling		me
1790909	at	awareness		at
1792799	me	apparatchiks		me
1799656	me	suck-up		me
1799900	me	apple-polisher		me
1801247	me	leeches		me
2679703	me	eve	explanation_synonym	me
2880970	me	SETTERS	enrichment_batch	me
