# Independent backfill failures
# Generated: 2026-03-31
# Format: date | puzzle_number | status | matched/total

2024-12-24 | #11921 | partial | 24/28
2025-01-01 | #11928 | partial | 31/34
2025-01-11 | #11937 | partial | 31/32
2025-01-13 | #11938 | partial | 27/28
2025-01-16 | #11941 | partial | 25/28
2025-01-23 | #11947 | partial | 30/33
2025-01-28 | #11951 | partial | 28/29
2025-05-27 | #12053 | partial | 27/29
2025-06-01 | #1840 | partial | 27/31
2025-06-03 | #12059 | partial | 33/34
2025-06-12 | #12067 | partial | 28/32
2025-06-17 | #12071 | partial | 35/36
2025-06-26 | #12079 | mismatch | 0/34
2025-07-06 | #1845 | partial | 25/28
2025-07-17 | #12097 | partial | 31/32
2025-07-31 | #12109 | partial | 29/31
2025-08-03 | #1849 | partial | 29/30
2025-08-07 | #12115 | partial | 30/31
2025-08-11 | #12118 | partial | 27/30
2025-08-14 | #12121 | partial | 31/33
2025-08-23 | #12129 | partial | 29/30
2025-08-25 | #12130 | partial | 28/31
2025-08-28 | #12133 | partial | 31/32
2025-09-02 | #12137 | partial | 30/31
2025-09-20 | #12153 | partial | 31/32
2025-10-08 | #12168 | partial | 29/30
2025-10-15 | #12174 | partial | 26/27
2025-10-23 | #12181 | partial | 31/33
2025-10-30 | #12187 | partial | 30/33
2025-11-06 | #12193 | partial | 28/30
2025-11-10 | #12196 | partial | 30/32
2025-11-22 | #12207 | partial | 32/33
2025-11-26 | #12210 | partial | 31/32
2025-11-29 | #12213 | partial | 31/32
2025-12-05 | #12218 | partial | 31/32
2025-12-11 | #12223 | partial | 26/27
2025-12-14 | #1868 | partial | 27/28
2025-12-22 | #12232 | partial | 28/32
2026-01-01 | #12241 | partial | 33/34
2026-01-05 | #12244 | mismatch | 0/31
2026-01-21 | #12258 | partial | 29/30
2026-01-22 | #12259 | partial | 22/28
2026-01-30 | #12266 | partial | 26/27
2026-01-31 | #12267 | partial | 26/28
2026-02-02 | #12268 | partial | 30/32
2026-02-12 | #12277 | partial | 29/31
2026-02-14 | #12279 | partial | 33/34
2026-02-17 | #12281 | partial | 37/38
2026-02-27 | #12290 | partial | 29/30
2026-03-03 | #12293 | partial | 28/31
2026-03-04 | #12294 | partial | 28/29
2026-03-14 | #12303 | partial | 26/28
2026-03-18 | #12306 | partial | 31/32
